video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QKzFAuRuBi0&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CBSNewYork,CBS New York,Photos Appear To Show Overcrowded Homeless Shelters After City's Efforts To Get Individuals Off Subw,37K,3 years,"New photos showing people crowded into homeless shelters seem to be at odds with the city, which is celebrating its new plan to ...",2024-01-23 02:20:50.724827
/watch?v=Z8iqGi4gOzo&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@ClickOnDetroitLocal4WDIV,Click On Detroit | Local 4 | WDIV,Detroit shelter expands services helping homeless with substance abuse treatment,742,9 months,The Mariners Inn has been helping men with substance abuse issues for nearly a century and now a new facility will help the ...,2024-01-23 02:20:50.725784
/watch?v=uMjn5GiKizY&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@kfor4news,KFOR Oklahoma's News 4,Oklahoma City homeless shelters prep for winter blast,1K,1 year,"Homeless shelters are preparing for the winter blast Tuesday with frigid temperatures, below zero wind chills, snow, ice and sleet ...",2024-01-23 02:20:50.726648
/watch?v=CQVjNYWDuxI&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@abcactionnews,ABC Action News,New shelters for the homeless,4.2K,2 years,New shelters for the homeless.,2024-01-23 02:20:50.727592
/watch?v=0zkrH6yquWM&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@GMA,Good Morning America,"Toronto carpenter builds $1,000 tiny shelters for homeless",19K,3 years,Khaleel Seivwright started building the mobile shelters in response to the worsening homelessness crisis caused by the ...,2024-01-23 02:20:50.728568
/watch?v=ip_WsW170lA&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@12NewsAZ,12 News,Central Arizona Shelter Services helping those experiencing homelessness in the Valley,601,1 year,"In the last five years, homelessness in Maricopa County has grown dramatically. CASS has been serving the community for more ...",2024-01-23 02:20:50.729782
/watch?v=omn4YJGdpaM&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@kgun9,KGUN9,Gourmet food for homeless shelters,989,1 year,More than a gift of food.,2024-01-23 02:20:50.730673
/watch?v=ItYMI1oJpJ0&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@citychannel4,City Channel 4 - Iowa City,Permanent Supportive Housing at Shelter House,589,1 year,Learn why this intervention method has proven to be a successful solution to homelessness for the most vulnerable chronically ...,2024-01-23 02:20:50.731519
/watch?v=sqVN1wQ4cwM&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KVUETV,KVUE,City of Austin to turn warehouse into homeless shelter | KVUE,1.1K,8 months,"As the City of Austin looks at new ways to get unhoused people off the streets, leaders are exploring using a City-owned ...",2024-01-23 02:20:50.732411
/watch?v=PP4LTEknAdA&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@NEWSCENTERMaine,NEWS CENTER Maine,A group hopes to transform Augusta church into a homeless shelter,182,2 months,"The proposed Community Living Center aims to offer shelter and support services during the day, providing a haven for ...",2024-01-23 02:20:50.733727
